Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
UK,09-02-2019 16:38,Mobile,Subscribe,/contact,social media,58,57,0,79,1780,226,379,2.51,Amazon Prime,09-02-2019,16:38:00,Saturday
USA,09-02-2019 17:15,Desktop,Subscribe,/about,social media,164,31,18,705,207,450,1075,4.79,Audible,09-02-2019,17:15:00,Saturday
UK,10-02-2019 15:32,Desktop,Subscribe,/home,direct,73,69,27,133,949,385,692,1.79,Audible,10-02-2019,15:32:00,Sunday
USA,10-02-2019 19:14,Mobile,Sign Up,/blog,organic search,146,64,37,714,951,384,706,3.67,Amazon Music,10-02-2019,19:14:00,Sunday
Canada,10-02-2019 19:51,Desktop,Download,/contact,referral,67,64,37,709,1676,147,999,4.8,Prime Video,10-02-2019,19:51:00,Sunday
Canada,11-02-2019 19:47,Mobile,Subscribe,/home,paid search,105,60,26,783,109,441,758,4.01,Amazon Web Services (AWS),11-02-2019,19:47:00,Monday
UK,12-02-2019 20:19,Mobile,Purchase,/about,direct,103,53,11,623,1947,248,1308,2.5,amazon.com,12-02-2019,20:19:00,Tuesday
Australia,12-02-2019 22:19,Mobile,Subscribe,/blog,referral,62,56,6,967,1593,138,860,3.75,Amazon Prime,12-02-2019,22:19:00,Tuesday
India,01-03-2019 08:14,Desktop,Subscribe,/about,direct,35,37,34,707,341,184,242,3.87,Amazon Prime,01-03-2019,08:14:00,Friday
UK,01-03-2019 13:44,Desktop,Purchase,/contact,direct,86,42,30,884,970,281,1110,2.25,amazon.com,01-03-2019,13:44:00,Friday
UK,01-03-2019 22:49,Mobile,Purchase,/blog,organic search,53,32,29,398,1885,196,903,5.92,amazon.com,01-03-2019,22:49:00,Friday
India,01-03-2019 22:52,Mobile,Download,/contact,paid search,132,43,36,289,1886,205,1295,5.2,Prime Video,01-03-2019,22:52:00,Friday
India,03-03-2019 06:39,Mobile,Purchase,/home,social media,132,35,49,935,529,465,1212,4.33,amazon.com,03-03-2019,06:39:00,Sunday
USA,03-03-2019 07:32,Mobile,Purchase,/products,referral,160,33,35,367,921,159,1290,3.47,amazon.com,03-03-2019,07:32:00,Sunday
Australia,03-03-2019 09:19,Mobile,Subscribe,/contact,organic search,144,48,6,202,917,178,1467,5.19,Amazon Web Services (AWS),03-03-2019,09:19:00,Sunday
Australia,04-03-2019 08:14,Mobile,Purchase,/blog,social media,168,40,47,668,934,174,121,5.38,amazon.com,04-03-2019,08:14:00,Monday
Canada,04-03-2019 08:51,Mobile,Subscribe,/products,referral,145,37,3,563,1092,24,599,1.54,Amazon Prime,04-03-2019,08:51:00,Monday
India,05-03-2019 07:18,Mobile,Download,/about,paid search,73,26,15,232,1481,450,146,4.07,Prime Video,05-03-2019,07:18:00,Tuesday
USA,05-03-2019 13:58,Desktop,Download,/home,organic search,49,69,29,844,472,72,93,2.45,Amazon Music,05-03-2019,13:58:00,Tuesday
UK,06-03-2019 00:36,Desktop,Download,/about,direct,163,54,13,272,1031,108,1375,1.53,Amazon Music,06-03-2019,00:36:00,Wednesday
Canada,06-03-2019 07:25,Tablet,Purchase,/home,direct,176,20,31,643,653,358,513,1.9,amazon.com,06-03-2019,07:25:00,Wednesday
Canada,07-03-2019 02:13,Mobile,Sign Up,/contact,paid search,48,46,12,408,179,312,613,5.56,Amazon Music,07-03-2019,02:13:00,Thursday
USA,07-03-2019 04:41,Mobile,Contact Form,/blog,organic search,58,58,18,377,480,455,1182,2.06,AWS Support,07-03-2019,04:41:00,Thursday
Australia,07-03-2019 11:57,Mobile,Download,/home,referral,49,37,7,245,1335,492,1086,5.47,Prime Video,07-03-2019,11:57:00,Thursday
India,07-03-2019 12:30,Mobile,Contact Form,/contact,organic search,139,40,3,588,1519,30,452,5,AWS Support,07-03-2019,12:30:00,Thursday
USA,07-03-2019 16:44,Mobile,Sign Up,/about,organic search,41,42,30,639,1272,250,1361,2.13,Amazon Prime,07-03-2019,16:44:00,Thursday
USA,07-03-2019 21:23,Desktop,Download,/blog,organic search,109,55,29,257,190,323,1105,3.87,Amazon Music,07-03-2019,21:23:00,Thursday
Australia,08-03-2019 01:42,Desktop,Subscribe,/about,social media,70,22,19,96,605,167,1322,2.09,Amazon Web Services (AWS),08-03-2019,01:42:00,Friday
Australia,08-03-2019 12:49,Desktop,Contact Form,/home,referral,166,61,38,844,508,120,1364,3.52,AWS Support,08-03-2019,12:49:00,Friday
Australia,08-03-2019 18:56,Desktop,Subscribe,/contact,social media,114,34,23,87,183,382,291,4.51,Audible,08-03-2019,18:56:00,Friday
India,08-03-2019 20:45,Mobile,Download,/contact,social media,143,41,25,694,1561,172,250,2.21,Prime Video,08-03-2019,20:45:00,Friday
Australia,09-03-2019 05:11,Mobile,Sign Up,/home,organic search,162,52,14,133,1067,210,866,2.19,Amazon Prime,09-03-2019,05:11:00,Saturday
Australia,09-03-2019 20:51,Desktop,Subscribe,/contact,social media,147,67,14,827,568,372,687,3.35,Amazon Prime,09-03-2019,20:51:00,Saturday
Australia,10-03-2019 00:27,Desktop,Contact Form,/products,social media,97,52,48,308,470,91,234,1.94,AWS Support,10-03-2019,00:27:00,Sunday
Australia,11-03-2019 13:47,Mobile,Purchase,/home,direct,98,33,2,106,1843,83,1254,3.97,amazon.com,11-03-2019,13:47:00,Monday
Canada,12-03-2019 08:21,Mobile,Contact Form,/about,organic search,65,25,19,404,353,341,1415,1.52,AWS Support,12-03-2019,08:21:00,Tuesday
India,12-03-2019 10:43,Desktop,Download,/about,direct,132,30,38,472,1077,357,1253,5.35,Prime Video,12-03-2019,10:43:00,Tuesday
USA,12-03-2019 12:08,Mobile,Download,/blog,referral,164,44,22,546,309,283,626,2.07,Amazon Music,12-03-2019,12:08:00,Tuesday
Australia,12-03-2019 13:55,Mobile,Sign Up,/blog,direct,116,31,32,818,1262,330,145,2.9,Amazon.com,12-03-2019,13:55:00,Tuesday
Australia,12-03-2019 14:25,Tablet,Contact Form,/blog,organic search,133,67,43,943,834,7,784,4.33,AWS Support,12-03-2019,14:25:00,Tuesday
UK,12-03-2019 15:50,Mobile,Subscribe,/home,social media,30,44,17,904,1391,290,1024,2.94,Amazon Prime,12-03-2019,15:50:00,Tuesday
India,01-04-2019 02:16,Mobile,Purchase,/contact,social media,69,21,18,596,789,475,1211,5.19,amazon.com,01-04-2019,02:16:00,Monday
Canada,02-04-2019 05:52,Mobile,Contact Form,/blog,referral,145,48,3,130,1711,25,637,1.23,AWS Support,02-04-2019,05:52:00,Tuesday
India,02-04-2019 21:14,Desktop,Contact Form,/blog,social media,63,35,42,997,990,437,812,4.42,Amazon Support,02-04-2019,21:14:00,Tuesday
India,02-04-2019 21:58,Desktop,Contact Form,/about,organic search,106,59,31,291,1715,34,790,5,Amazon Help,02-04-2019,21:58:00,Tuesday
Australia,03-04-2019 11:10,Mobile,Download,/about,referral,96,20,32,552,1011,424,1079,5.69,Prime Video,03-04-2019,11:10:00,Wednesday
Australia,03-04-2019 14:54,Mobile,Subscribe,/home,organic search,31,51,35,312,1302,22,1092,1.76,Amazon Web Services (AWS),03-04-2019,14:54:00,Wednesday
UK,03-04-2019 19:42,Desktop,Contact Form,/contact,direct,61,24,14,472,1210,255,1237,3.59,AWS Support,03-04-2019,19:42:00,Wednesday
USA,03-04-2019 20:56,Mobile,Download,/about,direct,115,52,19,33,787,187,1254,2.04,Prime Video,03-04-2019,20:56:00,Wednesday
Canada,04-04-2019 15:50,Mobile,Sign Up,/home,organic search,42,64,27,141,1019,393,260,2.19,Amazon Prime,04-04-2019,15:50:00,Thursday
India,05-04-2019 14:10,Tablet,Subscribe,/about,social media,93,65,4,319,1712,266,1482,5.08,Amazon Prime,05-04-2019,14:10:00,Friday
USA,05-04-2019 14:43,Tablet,Contact Form,/blog,social media,61,31,14,289,550,464,1017,2.57,Amazon Support,05-04-2019,14:43:00,Friday
UK,06-04-2019 12:06,Mobile,Download,/products,referral,148,41,33,496,316,460,504,2.09,Prime Video,06-04-2019,12:06:00,Saturday
Canada,07-04-2019 18:01,Mobile,Sign Up,/contact,direct,81,47,15,706,1019,473,488,1.37,Amazon.com,07-04-2019,18:01:00,Sunday
UK,08-04-2019 00:42,Tablet,Subscribe,/contact,direct,126,61,29,797,527,440,658,4.73,Amazon Prime,08-04-2019,00:42:00,Monday
Canada,08-04-2019 08:06,Desktop,Sign Up,/about,paid search,141,28,2,770,101,39,1251,2.85,Amazon Music,08-04-2019,08:06:00,Monday
UK,08-04-2019 13:30,Mobile,Purchase,/contact,social media,39,21,7,589,1182,221,481,5.43,amazon.com,08-04-2019,13:30:00,Monday
UK,08-04-2019 14:13,Tablet,Purchase,/blog,direct,153,41,49,82,768,97,1269,2.93,amazon.com,08-04-2019,14:13:00,Monday
USA,08-04-2019 15:36,Mobile,Subscribe,/products,direct,30,29,4,832,461,285,906,1.11,Amazon Web Services (AWS),08-04-2019,15:36:00,Monday
Australia,09-04-2019 03:12,Mobile,Subscribe,/contact,paid search,30,59,0,228,1941,273,199,1.99,Amazon Web Services (AWS),09-04-2019,03:12:00,Tuesday
Australia,09-04-2019 18:55,Tablet,Contact Form,/about,paid search,136,54,21,704,1519,192,1435,2.34,AWS Support,09-04-2019,18:55:00,Tuesday
India,09-04-2019 19:01,Mobile,Purchase,/products,social media,102,27,22,132,1699,98,172,3.06,amazon.com,09-04-2019,19:01:00,Tuesday
Australia,10-04-2019 05:21,Mobile,Purchase,/products,social media,48,26,35,685,196,176,1394,2.36,amazon.com,10-04-2019,05:21:00,Wednesday
UK,10-04-2019 14:28,Desktop,Sign Up,/blog,social media,31,21,46,143,773,268,904,3.69,Amazon.com,10-04-2019,14:28:00,Wednesday
UK,10-04-2019 22:57,Mobile,Download,/contact,paid search,121,27,41,46,307,139,557,4.46,Prime Video,10-04-2019,22:57:00,Wednesday
Canada,11-04-2019 11:17,Mobile,Sign Up,/about,paid search,32,22,27,533,1574,70,713,2.34,Amazon Music,11-04-2019,11:17:00,Thursday
USA,11-04-2019 23:51,Mobile,Download,/products,social media,80,24,39,889,1165,107,288,1.05,Prime Video,11-04-2019,23:51:00,Thursday
Australia,12-04-2019 03:11,Desktop,Purchase,/about,social media,122,51,37,348,1579,281,539,4.1,amazon.com,12-04-2019,03:11:00,Friday
Canada,12-04-2019 13:41,Desktop,Sign Up,/home,referral,102,59,25,744,1215,51,888,4.11,Amazon.com,12-04-2019,13:41:00,Friday
India,01-05-2019 10:36,Tablet,Purchase,/about,referral,43,24,43,886,1577,190,323,3.8,amazon.com,01-05-2019,10:36:00,Wednesday
Canada,01-05-2019 12:48,Desktop,Download,/home,social media,158,42,5,31,375,88,859,2.73,Amazon Music,01-05-2019,12:48:00,Wednesday
Australia,02-05-2019 01:26,Mobile,Sign Up,/products,direct,69,66,24,194,666,151,922,2.2,Amazon Music,02-05-2019,01:26:00,Thursday
Australia,02-05-2019 21:42,Mobile,Contact Form,/products,social media,112,37,5,821,1035,438,1190,1.89,AWS Support,02-05-2019,21:42:00,Thursday
Canada,02-05-2019 23:33,Desktop,Subscribe,/products,social media,150,25,27,871,1396,83,1160,2.68,Audible,02-05-2019,23:33:00,Thursday
Canada,03-05-2019 01:25,Mobile,Subscribe,/blog,social media,74,38,33,647,726,232,504,1.49,Amazon Web Services (AWS),03-05-2019,01:25:00,Friday
Australia,03-05-2019 04:25,Mobile,Purchase,/blog,paid search,84,47,24,407,475,26,566,1.67,amazon.com,03-05-2019,04:25:00,Friday
UK,03-05-2019 14:33,Desktop,Download,/home,social media,49,50,32,505,1858,317,568,4.43,Amazon Music,03-05-2019,14:33:00,Friday
UK,03-05-2019 20:32,Mobile,Subscribe,/contact,referral,119,26,42,740,522,29,169,1.4,Amazon Prime,03-05-2019,20:32:00,Friday
India,04-05-2019 08:15,Mobile,Contact Form,/about,social media,141,30,38,393,1897,496,1266,3.78,Amazon Help,04-05-2019,08:15:00,Saturday
USA,04-05-2019 17:13,Desktop,Contact Form,/about,paid search,133,47,42,791,1717,132,436,3.78,Amazon Support,04-05-2019,17:13:00,Saturday
India,04-05-2019 17:35,Mobile,Subscribe,/products,organic search,50,22,18,149,1111,30,155,3.81,Amazon Web Services (AWS),04-05-2019,17:35:00,Saturday
India,05-05-2019 16:26,Mobile,Sign Up,/about,social media,172,51,27,638,971,143,498,0.9,Amazon Prime,05-05-2019,16:26:00,Sunday
Australia,06-05-2019 03:23,Mobile,Subscribe,/blog,organic search,58,55,44,196,178,31,539,5.01,Amazon Web Services (AWS),06-05-2019,03:23:00,Monday
UK,06-05-2019 06:41,Desktop,Download,/blog,paid search,152,29,24,526,231,464,81,5.83,Prime Video,06-05-2019,06:41:00,Monday
UK,06-05-2019 14:45,Tablet,Purchase,/home,direct,156,66,23,117,667,316,754,5.03,amazon.com,06-05-2019,14:45:00,Monday
USA,06-05-2019 16:08,Mobile,Purchase,/blog,direct,54,23,43,453,1278,96,296,4.88,amazon.com,06-05-2019,16:08:00,Monday
India,06-05-2019 17:26,Mobile,Contact Form,/blog,referral,150,35,44,963,1970,164,736,5.33,AWS Support,06-05-2019,17:26:00,Monday
India,06-05-2019 17:33,Desktop,Purchase,/products,social media,123,24,13,445,929,489,471,5.81,amazon.com,06-05-2019,17:33:00,Monday
USA,06-05-2019 20:44,Mobile,Sign Up,/blog,direct,171,69,6,641,823,261,777,2.45,Amazon Prime,06-05-2019,20:44:00,Monday
UK,06-05-2019 23:40,Mobile,Download,/contact,organic search,137,50,45,998,409,423,1086,1.03,Amazon Music,06-05-2019,23:40:00,Monday
USA,07-05-2019 01:04,Mobile,Purchase,/about,referral,146,63,21,619,1743,173,134,2.29,amazon.com,07-05-2019,01:04:00,Tuesday
Australia,07-05-2019 16:15,Mobile,Contact Form,/blog,referral,41,21,41,611,161,365,736,0.91,Amazon Support,07-05-2019,16:15:00,Tuesday
Australia,07-05-2019 19:55,Mobile,Sign Up,/contact,social media,66,24,11,435,1014,328,1125,4.78,Amazon Prime,07-05-2019,19:55:00,Tuesday
USA,07-05-2019 21:01,Desktop,Download,/blog,paid search,162,61,0,764,630,277,1453,2.51,Amazon Music,07-05-2019,21:01:00,Tuesday
Canada,08-05-2019 14:34,Desktop,Contact Form,/about,referral,127,67,7,80,831,164,593,1.91,Amazon Help,08-05-2019,14:34:00,Wednesday
Canada,08-05-2019 15:44,Tablet,Download,/blog,organic search,50,23,4,629,914,435,423,3.78,Amazon Music,08-05-2019,15:44:00,Wednesday
USA,08-05-2019 17:35,Desktop,Sign Up,/contact,social media,109,33,47,674,446,428,760,1.35,Amazon Music,08-05-2019,17:35:00,Wednesday
UK,08-05-2019 18:12,Mobile,Subscribe,/about,direct,176,29,40,910,252,478,1348,5.55,Amazon Web Services (AWS),08-05-2019,18:12:00,Wednesday
Canada,08-05-2019 20:54,Desktop,Subscribe,/contact,direct,39,54,10,700,472,371,1176,4.92,Amazon Web Services (AWS),08-05-2019,20:54:00,Wednesday
Canada,08-05-2019 22:45,Desktop,Purchase,/home,direct,144,37,24,183,1078,177,1182,3.41,amazon.com,08-05-2019,22:45:00,Wednesday
Canada,09-05-2019 02:48,Mobile,Download,/blog,paid search,165,49,0,648,1276,59,106,1.86,Prime Video,09-05-2019,02:48:00,Thursday
Australia,09-05-2019 17:34,Desktop,Download,/about,social media,105,27,47,708,814,280,230,3.26,Prime Video,09-05-2019,17:34:00,Thursday
Australia,10-05-2019 14:14,Mobile,Purchase,/home,paid search,121,38,41,813,1429,439,433,5.5,amazon.com,10-05-2019,14:14:00,Friday
UK,10-05-2019 18:58,Mobile,Purchase,/blog,referral,162,46,15,955,1587,435,743,3.12,amazon.com,10-05-2019,18:58:00,Friday
India,10-05-2019 19:17,Desktop,Subscribe,/blog,referral,161,67,33,140,584,280,1136,5.2,Amazon Web Services (AWS),10-05-2019,19:17:00,Friday
Australia,11-05-2019 04:29,Mobile,Download,/contact,organic search,161,27,39,591,1917,386,541,1.66,Prime Video,11-05-2019,04:29:00,Saturday
Canada,11-05-2019 12:38,Desktop,Purchase,/contact,social media,124,36,13,280,1274,42,1341,2.3,amazon.com,11-05-2019,12:38:00,Saturday
Canada,11-05-2019 17:41,Tablet,Contact Form,/contact,referral,108,40,24,781,940,306,351,2.64,AWS Support,11-05-2019,17:41:00,Saturday
UK,12-05-2019 07:10,Desktop,Purchase,/about,direct,99,55,17,989,906,13,954,3.42,amazon.com,12-05-2019,07:10:00,Sunday
Canada,12-05-2019 14:22,Desktop,Purchase,/contact,direct,81,43,36,566,1515,206,791,4.68,amazon.com,12-05-2019,14:22:00,Sunday
Australia,01-06-2019 00:42,Mobile,Sign Up,/home,paid search,57,26,14,208,388,94,621,2.75,Amazon.com,01-06-2019,00:42:00,Saturday
Canada,01-06-2019 08:54,Mobile,Download,/about,paid search,55,35,1,273,1272,450,1285,2.38,Amazon Music,01-06-2019,08:54:00,Saturday
India,01-06-2019 12:04,Mobile,Download,/about,referral,76,68,46,822,1516,83,804,1.57,Amazon Music,01-06-2019,12:04:00,Saturday
UK,01-06-2019 15:18,Mobile,Sign Up,/blog,direct,146,67,39,203,345,115,769,2.12,Amazon.com,01-06-2019,15:18:00,Saturday
India,02-06-2019 08:36,Desktop,Sign Up,/home,social media,143,21,9,536,1871,150,474,5.28,Amazon Prime,02-06-2019,08:36:00,Sunday
Canada,02-06-2019 14:57,Mobile,Purchase,/products,social media,151,30,42,11,365,313,221,1.39,amazon.com,02-06-2019,14:57:00,Sunday
India,02-06-2019 16:23,Desktop,Contact Form,/blog,social media,59,55,37,190,1628,291,1359,3.29,Amazon Help,02-06-2019,16:23:00,Sunday
Canada,02-06-2019 18:11,Desktop,Contact Form,/about,paid search,129,54,46,39,366,47,899,1.42,Amazon Help,02-06-2019,18:11:00,Sunday
UK,03-06-2019 10:08,Mobile,Subscribe,/home,paid search,154,67,31,911,1962,275,1404,4.57,Amazon Prime,03-06-2019,10:08:00,Monday
Australia,03-06-2019 12:15,Desktop,Download,/about,referral,35,42,43,623,1766,208,417,4.51,Amazon Music,03-06-2019,12:15:00,Monday
India,03-06-2019 12:22,Mobile,Download,/about,social media,148,65,27,621,1359,167,171,2.91,Amazon Music,03-06-2019,12:22:00,Monday
India,04-06-2019 10:46,Desktop,Contact Form,/about,referral,141,49,5,724,362,324,1132,3.72,AWS Support,04-06-2019,10:46:00,Tuesday
Australia,04-06-2019 10:54,Mobile,Download,/products,organic search,115,29,8,85,1414,364,761,3.17,Amazon Music,04-06-2019,10:54:00,Tuesday
Canada,04-06-2019 22:02,Desktop,Sign Up,/contact,social media,113,61,42,819,264,291,126,5.13,Amazon Music,04-06-2019,22:02:00,Tuesday
